timestamp,volume_binance_btcusdt,trades_binance_btcusdt,open_binance_btcusdt,close_binance_btcusdt,high_binance_btcusdt,low_binance_btcusdt,buy_volume_binance_btcusdt,volume_binance_btcusdt_perpetual,trades_binance_btcusdt_perpetual,open_binance_btcusdt_perpetual,close_binance_btcusdt_perpetual,high_binance_btcusdt_perpetual,low_binance_btcusdt_perpetual,buy_volume_binance_btcusdt_perpetual,trades_total,volume_total,buy_volume_total,oi,fund_rate,funding_rate_oi_weighted
1719070192.647123 - 1719070275.9816473,13567.482669199999,25,64267.36,64267.36,64267.37,64267.36,0.0,35075.1884,25,64240.3,64240.3,64240.3,64240.2,35075.1884,50,48642.6710692,35075.1884,77535.00627999999,4.1460000000000006e-05,3.2146013603687997
1719070276.0025785 - 1719070348.7883854,6385.6053818,24,64267.36,64267.36,64267.37,64267.36,0.0,26914.5137,24,64235.2,64235.2,64235.2,64235.1,26914.5137,48,33300.1190818,26914.5137,77539.77066666668,4.146e-05,3.2147988918399997
1719070348.7993524 - 1719070431.2833838,4866.9678023,25,64267.36,64267.36,64267.37,64267.36,0.0,34111.31159999999,25,64239.7,64239.8,64239.8,64239.7,34111.31159999999,50,38978.279402299995,34111.31159999999,77537.09816000001,4.1460000000000006e-05,3.2146880897136008
1719070431.2915018 - 1719070514.4367726,3508.9979241,25,64267.36,64267.37,64267.37,64267.36,3508.9979241,99057.6453,25,64239.8,64239.7,64239.8,64239.7,0.0,50,102566.6432241,3508.9979241,77544.61948,4.1460000000000006e-05,3.214999923640799
1719070514.4414623 - 1719070595.0288484,3599.6844027999996,24,64280.07,64280.08,64280.08,64280.07,3599.6844027999996,174201.8244,24,64257.4,64257.5,64257.5,64257.4,174201.82439999998,48,177801.5088028,177801.50880279997,77546.88854166665,4.146e-05,3.2150939989375007
1719070595.0377777 - 1719070676.0640018,3131.7253452999994,24,64280.07,64280.08,64280.08,64280.07,3131.7253452999994,29751.2118,24,64257.5,64257.4,64257.5,64257.4,0.0,48,32882.9371453,3131.7253452999994,77544.79970833335,4.146e-05,3.2150073959075
1719070676.070663 - 1719070757.308095,2657.0173212999985,24,64287.86,64287.86,64287.87,64287.86,0.0,25770.3798,24,64265.2,64265.3,64265.3,64265.2,25770.379799999995,48,28427.397121299997,25770.379799999995,77543.26416666665,4.146e-05,3.2149437323499996
1719070757.3187368 - 1719070840.13116,20980.7842027,24,64289.22,64289.21,64289.22,64289.21,0.0,32387.533999999996,24,64260.9,64260.9,64261.0,64260.9,0.0,48,53368.3182027,0.0,77543.37516666668,4.146e-05,3.21494833441
1719070840.143221 - 1719070923.340672,16225.9551651,25,64289.21,64289.21,64289.22,64289.21,0.0,42669.3,25,64261.0,64261.0,64261.0,64260.9,42669.3,50,58895.2551651,42669.3,77541.40291999998,4.1460000000000006e-05,3.2148665650631996
1719070923.3487267 - 1719071006.3995962,4775.907766,25,64304.67,64304.66,64304.67,64304.66,0.0,29441.959000000003,25,64283.8,64283.7,64283.8,64283.7,0.0,50,34217.86676600001,0.0,77527.34240000001,4.1460000000000006e-05,3.2142836159040007
